,titulos,empresa,todas_salario,todos_local,url
10,ASSEESSOR DE ANÁLISE DE DADOS II,SM PRESTISERVICE,"De R$ 7.001,00 a R$ 8.000,00",Belo Horizonte - MG (1),https://www.catho.com.br/vagas/asseessor-de-analise-de-dados-ii/24104900/?origem_apply=busca-de-vagas&entrada_apply=direto
11,ESTÁGIO ANALISE DE DADOS,PREMIER -SP,"Até R$ 1.000,00",São Paulo - SP (1),https://www.catho.com.br/vagas/estagio-analise-de-dados/23753938/?origem_apply=busca-de-vagas&entrada_apply=direto
12,Analista de Dados em Energias Renováveis,WINDWERK SERVIÇOS EÓLICOS LTDA,A Combinar,Florianópolis - SC (1),https://www.catho.com.br/vagas/analista-de-dados-em-energias-renovaveis/24363541/?origem_apply=busca-de-vagas&entrada_apply=direto
13,ANALISTA DE DADOS E DOCUMENTOS PL,3CORAÇÕES,A Combinar,Eusebio - CE (1),https://www.catho.com.br/vagas/analista-de-dados-e-documentos-pl/24338015/?origem_apply=busca-de-vagas&entrada_apply=direto
14,Pessoa Analista de Dados PL,ZOOP,A Combinar,Rio de Janeiro - RJ (1),https://www.catho.com.br/vagas/pessoa-analista-de-dados-pl/24320591/?origem_apply=busca-de-vagas&entrada_apply=direto
0,Analista de Dados em São Paulo - SP,GMP RECURSOS HUMANOS,A Combinar,São Paulo - SP (1),https://www.catho.com.br/vagas/analista-de-dados-em-sao-paulo-sp/24302881/?origem_apply=busca-de-vagas&entrada_apply=direto
1,Banco de Talentos - Analista de Dados,MTP DO BRASIL,A Combinar,São José dos Pinhais - PR (1),https://www.catho.com.br/vagas/banco-de-talentos-analista-de-dados/24308191/?origem_apply=busca-de-vagas&entrada_apply=direto
2,Analista de Dados em São Paulo - SP,AST CONSULTORIA,"De R$ 2.001,00 a R$ 3.000,00",São Paulo - SP (1),https://www.catho.com.br/vagas/analista-de-dados-em-sao-paulo-sp/24291107/?origem_apply=busca-de-vagas&entrada_apply=direto
3,ANALISTA DE DADOS em Brasília - DF,HOSPITAL SANTA LÚCIA,A Combinar,Brasilia - DF (1),https://www.catho.com.br/vagas/analista-de-dados-em-brasilia-df/24184936/?origem_apply=busca-de-vagas&entrada_apply=direto
4,ANALISTA DE DADOS CLOUD - COM EXPERIÊNCIA,PROCURANDO EMPREGO,A Combinar,São Paulo - SP (1),https://www.catho.com.br/vagas/analista-de-dados-cloud-com-experiencia/24184061/?origem_apply=busca-de-vagas&entrada_apply=direto
5,Analista de Dados Junior (PCD),HIRING,A Combinar,São Paulo - SP (1),https://www.catho.com.br/vagas/analista-de-dados-junior-pcd/23972255/?origem_apply=busca-de-vagas&entrada_apply=direto
6,Analista de Dados Junior (PCD),HIRING,A Combinar,São Paulo - SP (1),https://www.catho.com.br/vagas/analista-de-dados-junior-pcd/23905800/?origem_apply=busca-de-vagas&entrada_apply=direto
7,Analista de Dados (Vaga afirmativa para mulheres),COZIMAX,A Combinar,Mirassol - SP (1),https://www.catho.com.br/vagas/analista-de-dados-vaga-afirmativa-para-mulheres/24145234/?origem_apply=busca-de-vagas&entrada_apply=direto
8,ANALISTA DE DADOS SR- REMOTO,EMPREGARA,"Até R$ 1.000,00",Brasilia - DF (1),https://www.catho.com.br/vagas/analista-de-dados-sr-remoto/24131836/?origem_apply=busca-de-vagas&entrada_apply=direto
9,Analista de Dados Junior e Pleno,MOTTU TECNOLOGIA,A Combinar,São Paulo - SP (1),https://www.catho.com.br/vagas/analista-de-dados-junior-e-pleno/24137147/?origem_apply=busca-de-vagas&entrada_apply=direto
10,Analista de Dados Pleno a Sênior,EMPREGARA,A Combinar,Florianópolis - SC (1),https://www.catho.com.br/vagas/analista-de-dados-pleno-a-senior/24133297/?origem_apply=busca-de-vagas&entrada_apply=direto
11,Analista de Dados/BI Pleno,EMPREGARA,A Combinar,São Paulo - SP (1),https://www.catho.com.br/vagas/analista-de-dados-bi-pleno/24131018/?origem_apply=busca-de-vagas&entrada_apply=direto
12,Analista de Dados de Marketing Digital II,EMPREGARA,A Combinar,São Paulo - SP (1),https://www.catho.com.br/vagas/analista-de-dados-de-marketing-digital-ii/24130242/?origem_apply=busca-de-vagas&entrada_apply=direto
13,Analista de Dados de Marketing Digital II,EMPREGARA,A Combinar,São Paulo - SP (1),https://www.catho.com.br/vagas/analista-de-dados-de-marketing-digital-ii/24134932/?origem_apply=busca-de-vagas&entrada_apply=direto
14,Analista de Dados Pleno RJ,EMPREGARA,A Combinar,Rio de Janeiro - RJ (1),https://www.catho.com.br/vagas/analista-de-dados-pleno-rj/24133596/?origem_apply=busca-de-vagas&entrada_apply=direto
0,Analista de Dados e Performance Senior,EMPREGARA,A Combinar,São Paulo - SP (1),https://www.catho.com.br/vagas/analista-de-dados-e-performance-senior/24113759/?origem_apply=busca-de-vagas&entrada_apply=direto
1,Analista de Dados (Híbrido - Belo Horizonte),EMPREGARA,A Combinar,Belo Horizonte - MG (1),https://www.catho.com.br/vagas/analista-de-dados-hibrido-belo-horizonte/24114317/?origem_apply=busca-de-vagas&entrada_apply=direto
2,11619-Analista de Dados (BI),EMPREGARA,A Combinar,Campinas - SP (1),https://www.catho.com.br/vagas/11619-analista-de-dados-bi/24113632/?origem_apply=busca-de-vagas&entrada_apply=direto
3,Analista de Dados Sênior | Novo Hamburgo,EMPREGARA,A Combinar,Novo Hamburgo - RS (1),https://www.catho.com.br/vagas/analista-de-dados-senior-novo-hamburgo/24113523/?origem_apply=busca-de-vagas&entrada_apply=direto
4,Analista de Dados Júnior I QuiteJá,EMPREGARA,A Combinar,Curitiba - PR (1),https://www.catho.com.br/vagas/analista-de-dados-junior-i-quiteja/24116674/?origem_apply=busca-de-vagas&entrada_apply=direto
5,ANALISTA DE DADOS PLENO - COM EXPERIÊNCIA,PROCURANDO EMPREGO,A Combinar,Brasilia - DF (1),https://www.catho.com.br/vagas/analista-de-dados-pleno-com-experiencia/24108774/?origem_apply=busca-de-vagas&entrada_apply=direto
6,Analista de Dados Júnior I QuiteJá,EMPREGARA,A Combinar,Curitiba - PR (1),https://www.catho.com.br/vagas/analista-de-dados-junior-i-quiteja/24121648/?origem_apply=busca-de-vagas&entrada_apply=direto
7,Analista de Dados - BI - Innovative Company,GRABS,A Combinar,Piracicaba - SP (1),https://www.catho.com.br/vagas/analista-de-dados-bi-innovative-company/24120847/?origem_apply=busca-de-vagas&entrada_apply=direto
8,Analista de Dados | Cresol Confederação,EMPREGARA,A Combinar,Francisco Beltrao - PR (1),https://www.catho.com.br/vagas/analista-de-dados-cresol-confederacao/24120431/?origem_apply=busca-de-vagas&entrada_apply=direto
9,Analista de Dados e Negócios Sênior,EMPREGARA,A Combinar,São Paulo - SP (1),https://www.catho.com.br/vagas/analista-de-dados-e-negocios-senior/24110705/?origem_apply=busca-de-vagas&entrada_apply=direto
10,Analista de Dados | Cresol Confederação,CONFESOL,A Combinar,Francisco Beltrao - PR (1),https://www.catho.com.br/vagas/analista-de-dados-cresol-confederacao/24100241/?origem_apply=busca-de-vagas&entrada_apply=direto
11,Analista de Dados e Precificação Jr,EMPREGARA,A Combinar,São Paulo - SP (1),https://www.catho.com.br/vagas/analista-de-dados-e-precificacao-jr/24094005/?origem_apply=busca-de-vagas&entrada_apply=direto
12,ANALISTA DE DADOS - POWER BI,LEANDRO STORMER,A Combinar,Porto Alegre - RS (1),https://www.catho.com.br/vagas/analista-de-dados-power-bi/24094086/?origem_apply=busca-de-vagas&entrada_apply=direto
13,1349 - Analista de Dados Júnior,EMPREGARA,A Combinar,São José dos Campos - SP (1),https://www.catho.com.br/vagas/1349-analista-de-dados-junior/24084066/?origem_apply=busca-de-vagas&entrada_apply=direto
14,Pessoa Analista de Dados Teradata,EMPREGARA,A Combinar,Uberlândia - MG (1),https://www.catho.com.br/vagas/pessoa-analista-de-dados-teradata/24084205/?origem_apply=busca-de-vagas&entrada_apply=direto
0,Analista de Faturamento/Dados,EMPREGARA,A Combinar,Rio de Janeiro - RJ (1),https://www.catho.com.br/vagas/analista-de-faturamento-dados/24091062/?origem_apply=busca-de-vagas&entrada_apply=direto
1,Analista de TI - Dados,PRISMAT RH,"De R$ 2.001,00 a R$ 3.000,00",Marilia - SP (1),https://www.catho.com.br/vagas/analista-de-ti-dados/23803697/?origem_apply=busca-de-vagas&entrada_apply=direto
2,Analista de Inteligência de Dados,GRUPO PGV URBANISMO,A Combinar,Unai - MG (1),https://www.catho.com.br/vagas/analista-de-inteligencia-de-dados/23401273/?origem_apply=busca-de-vagas&entrada_apply=direto
3,Pessoa Consultora de Analise de Dados,DATUM TI,A Combinar,Porto Alegre - RS (1),https://www.catho.com.br/vagas/pessoa-consultora-de-analise-de-dados/21772636/?origem_apply=busca-de-vagas&entrada_apply=direto
4,Consultant - Analista de Dados Jr - Presencial,PROVIDER IT - BUSINESS SOLUTIONS,A Combinar,Rio de Janeiro - RJ (1),https://www.catho.com.br/vagas/consultant-analista-de-dados-jr-presencial/24315576/?origem_apply=busca-de-vagas&entrada_apply=direto
5,Pessoa Analista de Dados Pleno - Telecomunicações,BIP - BUSINESS INTEGRATION PARTNERS DO BRASIL,A Combinar,São Paulo - SP (1),https://www.catho.com.br/vagas/pessoa-analista-de-dados-pleno-telecomunicacoes/24278605/?origem_apply=busca-de-vagas&entrada_apply=direto
6,Analista de Dados Júnior (vaga afirmativa para talentos diversos),MEMED,A Combinar,São Paulo - SP (1),https://www.catho.com.br/vagas/analista-de-dados-junior-vaga-afirmativa-para-talentos-diversos/24282715/?origem_apply=busca-de-vagas&entrada_apply=direto
7,Analista de Dados Pleno em São Paulo - SP,TRAMASSO IDH,A Combinar,São Paulo - SP (1),https://www.catho.com.br/vagas/analista-de-dados-pleno-em-sao-paulo-sp/24211002/?origem_apply=busca-de-vagas&entrada_apply=direto
8,Pessoa Analista de Dados Pleno - Telecomunicações,BIP - BUSINESS INTEGRATION PARTNERS DO BRASIL,A Combinar,São Paulo - SP (1),https://www.catho.com.br/vagas/pessoa-analista-de-dados-pleno-telecomunicacoes/24201350/?origem_apply=busca-de-vagas&entrada_apply=direto
9,ANALISTA DE DADOS JUNIOR - SUPERIOR COMPLETO,PROCURANDO EMPREGO,A Combinar,São Paulo - SP (1),https://www.catho.com.br/vagas/analista-de-dados-junior-superior-completo/24180603/?origem_apply=busca-de-vagas&entrada_apply=direto
10,Analista de Dados - Vaga Afirmativa para Pessoas com Deficiência,EMPREGARA,"Até R$ 1.000,00",São Paulo - SP (1),https://www.catho.com.br/vagas/analista-de-dados-vaga-afirmativa-para-pessoas-com-deficiencia/24112692/?origem_apply=busca-de-vagas&entrada_apply=direto
11,Analista de Dados Alteryx Sênior (Remoto),EMPREGARA,A Combinar,São Paulo - SP (1),https://www.catho.com.br/vagas/analista-de-dados-alteryx-senior-remoto/24111107/?origem_apply=busca-de-vagas&entrada_apply=direto
12,Analista de dados Jr - Cajamar SP,EMPREGARA,A Combinar,Cajamar - SP (1),https://www.catho.com.br/vagas/analista-de-dados-jr-cajamar-sp/24116695/?origem_apply=busca-de-vagas&entrada_apply=direto
13,Pessoa Analista de Dados - Rapid Progression,GRABS,A Combinar,Caxias do Sul - RS (1),https://www.catho.com.br/vagas/pessoa-analista-de-dados-rapid-progression/24114247/?origem_apply=busca-de-vagas&entrada_apply=direto
14,Pessoa Analista de Dados Pleno - Telecomunicações,BIP - BUSINESS INTEGRATION PARTNERS DO BRASIL,A Combinar,São Paulo - SP (1),https://www.catho.com.br/vagas/pessoa-analista-de-dados-pleno-telecomunicacoes/24100054/?origem_apply=busca-de-vagas&entrada_apply=direto
0,Analista de Dados DBA - Curitiba/PR,EMPREGARA,A Combinar,Curitiba - PR (1),https://www.catho.com.br/vagas/analista-de-dados-dba-curitiba-pr/24085553/?origem_apply=busca-de-vagas&entrada_apply=direto
1,ANALISTA DE DADOS PLENO - SUPERIOR COMPLETO,PROCURANDO EMPREGO,A Combinar,São Paulo - SP (1),https://www.catho.com.br/vagas/analista-de-dados-pleno-superior-completo/24084780/?origem_apply=busca-de-vagas&entrada_apply=direto
2,Analista de Dados (SP/RJ/SC),STRATTNER,A Combinar,Palhoca - SC (1),https://www.catho.com.br/vagas/analista-de-dados-sp-rj-sc/23931833/?origem_apply=busca-de-vagas&entrada_apply=direto
3,Analista De Logistica Jr (Foco em análise de dados),Empresa ConfidencialPor que?,"De R$ 5.001,00 a R$ 6.000,00",Cajamar - SP (1),https://www.catho.com.br/vagas/analista-de-logistica-jr-foco-em-analise-de-dados/24104964/?origem_apply=busca-de-vagas&entrada_apply=direto
4,Analista de Dados Pleno | Inteligência de Mercado - Dados & Serviços,EMPREGARA,A Combinar,São Paulo - SP (1),https://www.catho.com.br/vagas/analista-de-dados-pleno-inteligencia-de-mercado-dados-servicos/24114563/?origem_apply=busca-de-vagas&entrada_apply=direto
5,ANALISTA DLP e PROTEÇÃO DE DADOS SR,NAVA SERVICES,A Combinar,Osasco - SP (1),https://www.catho.com.br/vagas/analista-dlp-e-protecao-de-dados-sr/23895513/?origem_apply=busca-de-vagas&entrada_apply=direto
6,Analista de Inteligência Operacional e Dados Sr,CLÍNICA SIM,A Combinar,Fortaleza - CE (1),https://www.catho.com.br/vagas/analista-de-inteligencia-operacional-e-dados-sr/23871043/?origem_apply=busca-de-vagas&entrada_apply=direto
7,Analista de Banco de Dados,DTC RECRUTAMENTO,A Combinar,Curitiba - PR (1),https://www.catho.com.br/vagas/analista-de-banco-de-dados/24354556/?origem_apply=busca-de-vagas&entrada_apply=direto
8,Analista de atendimento ao cliente – Gestão de dados,TEC MAR TRANSPORTES,A Combinar,Embu - SP (1),https://www.catho.com.br/vagas/analista-de-atendimento-ao-cliente-gestao-de-dados/24127006/?origem_apply=busca-de-vagas&entrada_apply=direto
9,Analista de Planejamento e Dados Sênior,WEIR MINERALS,A Combinar,Jundiai - SP (1),https://www.catho.com.br/vagas/analista-de-planejamento-e-dados-senior/24304501/?origem_apply=busca-de-vagas&entrada_apply=direto
10,Analista de Inteligência e Dados – Pleno,BIOMEDICAL,A Combinar,Belo Horizonte - MG (1),https://www.catho.com.br/vagas/analista-de-inteligencia-e-dados-pleno/24307089/?origem_apply=busca-de-vagas&entrada_apply=direto
11,Analista de Inteligência de Dados Sênior,EMPREGARA,A Combinar,São Paulo - SP (1),https://www.catho.com.br/vagas/analista-de-inteligencia-de-dados-senior/24130550/?origem_apply=busca-de-vagas&entrada_apply=direto
12,Analista Inteligencia De Dados Jr,EMPREGARA,A Combinar,São Paulo - SP (1),https://www.catho.com.br/vagas/analista-inteligencia-de-dados-jr/24115558/?origem_apply=busca-de-vagas&entrada_apply=direto
13,Analista de Engenheiro de Dados - Sênior,EMPREGARA,A Combinar,Curitiba - PR (1),https://www.catho.com.br/vagas/analista-de-engenheiro-de-dados-senior/24118459/?origem_apply=busca-de-vagas&entrada_apply=direto
14,Analista de Migração de Dados Pleno,CLINICORP SERVIÇOS LTDA,A Combinar,Jaragua do Sul - SC (1),https://www.catho.com.br/vagas/analista-de-migracao-de-dados-pleno/24101511/?origem_apply=busca-de-vagas&entrada_apply=direto
0,Analista de Engenharia de Dados Pleno,EMPREGARA,A Combinar,São Paulo - SP (1),https://www.catho.com.br/vagas/analista-de-engenharia-de-dados-pleno/24083971/?origem_apply=busca-de-vagas&entrada_apply=direto
1,Analista de Ciência de Dados Pl,EMPREGARA,A Combinar,São Paulo - SP (1),https://www.catho.com.br/vagas/analista-de-ciencia-de-dados-pl/24088212/?origem_apply=busca-de-vagas&entrada_apply=direto
2,Analista de Engenharia de Dados Pleno,EMPREGARA,A Combinar,São Paulo - SP (1),https://www.catho.com.br/vagas/analista-de-engenharia-de-dados-pleno/24085261/?origem_apply=busca-de-vagas&entrada_apply=direto
3,ANALISTA DE GOVERNANÇA DE DADOS JÚNIOR,EMPREGARA,A Combinar,Rio de Janeiro - RJ (1),https://www.catho.com.br/vagas/analista-de-governanca-de-dados-junior/24063460/?origem_apply=busca-de-vagas&entrada_apply=direto
4,Analista de Gestão de Dados Sr,NUCLEA,A Combinar,São Paulo - SP (1),https://www.catho.com.br/vagas/analista-de-gestao-de-dados-sr/23927753/?origem_apply=busca-de-vagas&entrada_apply=direto
5,Pessoa Analista de Dados Pleno - Opportunity to Make a Difference,GRABS,A Combinar,São José do Rio Preto - SP (1),https://www.catho.com.br/vagas/pessoa-analista-de-dados-pleno-opportunity-to-make-a-difference/24317057/?origem_apply=busca-de-vagas&entrada_apply=direto
6,VR MOBILIDADE | Operações | Pessoa Analista Dados,VR BENEFÍCIOS,A Combinar,Nova Lima - MG (1),https://www.catho.com.br/vagas/vr-mobilidade-operacoes-pessoa-analista-dados/24214542/?origem_apply=busca-de-vagas&entrada_apply=direto
7,Analista de Dados JR (Vaga afirmativa para pessoas com deficiência),EMPREGARA,A Combinar,São José dos Campos - SP (1),https://www.catho.com.br/vagas/analista-de-dados-jr-vaga-afirmativa-para-pessoas-com-deficiencia/24130123/?origem_apply=busca-de-vagas&entrada_apply=direto
8,Analista de Dados de Compras PL - São Paulo/ SP,CARGILL,A Combinar,São Paulo - SP (1),https://www.catho.com.br/vagas/analista-de-dados-de-compras-pl-sao-paulo-sp/24133819/?origem_apply=busca-de-vagas&entrada_apply=direto
9,Analista de Dados Epidemiológicos - Hospital Mãe deDeus,EMPREGARA,A Combinar,Porto Alegre - RS (1),https://www.catho.com.br/vagas/analista-de-dados-epidemiologicos-hospital-mae-dedeus/24093347/?origem_apply=busca-de-vagas&entrada_apply=direto
10,PESSOA ANALISTA DE DADOS SR - Riscos/Inteligência,EMPREGARA,A Combinar,São Paulo - SP (1),https://www.catho.com.br/vagas/pessoa-analista-de-dados-sr-riscos-inteligencia/24091090/?origem_apply=busca-de-vagas&entrada_apply=direto
11,Estágio em Análise de Dados (Home Office),REHAGRO,A Combinar,Belo Horizonte - MG (1),https://www.catho.com.br/vagas/estagio-em-analise-de-dados-home-office/23610141/?origem_apply=busca-de-vagas&entrada_apply=direto
12,Analista de Banco de Dados,RENOVA RH,"De R$ 3.001,00 a R$ 4.000,00",São Paulo - SP (1),https://www.catho.com.br/vagas/analista-de-banco-de-dados/24098384/?origem_apply=busca-de-vagas&entrada_apply=direto
13,Analista Banco de Dados,Empresa ConfidencialPor que?,A Combinar,Americana - SP (1),https://www.catho.com.br/vagas/analista-banco-de-dados/23907276/?origem_apply=busca-de-vagas&entrada_apply=direto
14,Especialista I – Análise de Dados,CNI,A Combinar,Brasilia - DF (1),https://www.catho.com.br/vagas/especialista-i-analise-de-dados/24200967/?origem_apply=busca-de-vagas&entrada_apply=direto
